Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
SNORA50C,17q23.3,0.244558375,0.004112572,0.012519524
FHIP2A,10q25.3,-0.244501694,0.004121501,0.012544774
LIMS1,2q12.3,-0.244492152,0.004123006,0.012547422
GNAI1,7q21.11,-0.244468298,0.00412677,0.012556944
SLC35F6,2p23.3,-0.244420591,0.004134308,0.012577943
CHRM1,11q12.3,-0.244401799,0.00413728,0.012585049
GTF2H2,5q13.2,0.244391966,0.004138836,0.012587845
ATRX,Xq21.1,-0.244387195,0.004139591,0.012588205
LINC00235,16p13.3,-0.244376758,0.004141244,0.012591221
ZNF555,19p13.3,0.244372883,0.004141858,0.012591221
GPSM1,9q34.3,-0.244196365,0.0041699,0.012674521
CHRD,3q27.1,-0.244146563,0.004177843,0.012696056
C1ORF115,1q41,-0.244143886,0.00417827,0.012696056
CES4A,16q22.1,-0.244098855,0.004185464,0.012715306
INCA1,17p13.2,0.244096179,0.004185892,0.012715306
DCDC2B,1p35.2,-0.244083531,0.004187915,0.012719496
TAS2R46,12p13.2,-0.244057814,0.00419203,0.01273004
ZBTB38,3q23,-0.244029388,0.004196584,0.012741909
LRRC4,7q32.1,-0.244019846,0.004198113,0.012744594
WDR97,8q24.3,-0.244010305,0.004199643,0.012745323
NBPF14,1q21.2,-0.244010305,0.004199643,0.012745323
NKAIN2,6q22.31,-0.244000763,0.004201173,0.01274801
GLIS3,9p24.2,-0.243986451,0.00420347,0.012753021
DCP1A,3p21.1,-0.243976909,0.004205002,0.012755709
MFSD6L,17p13.1,-0.243949585,0.004209391,0.012767063
HARBI1,11p11.2,0.243893712,0.004218378,0.012792359
MBNL3,Xq26.2,-0.243781308,0.004236511,0.012845376
STIP1,11q13.1,0.243762225,0.004239596,0.012852759
C2CD4C,19p13.3,-0.243709747,0.004248091,0.012876538
WDR33,2q14.3,-0.243490291,0.004283782,0.01298273
ADI1,2p25.3,0.243461667,0.004288457,0.012994906
SNX14,6q14.3,0.243456896,0.004289237,0.012995276
SEC63,6q21,-0.243437813,0.004292356,0.013002735
FAM104A,17q25.1,0.243433042,0.004293137,0.013003105
CSNK1G2-AS1,19p13.3,-0.243404996,0.004297726,0.013015011
RAB39A,11q22.3,-0.243380564,0.004301728,0.013025134
FANCI,15q26.1,0.243275607,0.004318957,0.013075298
WDR59,16q23.1,-0.243213587,0.004329166,0.013104199
TBC1D29P,17q11.2,-0.243196467,0.004331989,0.013110734
CYP27C1,2q14.3,-0.243175936,0.004335375,0.013118974
RNF31,14q12,-0.243089547,0.004349651,0.013160157
KCNQ1OT1,11p15.5,-0.243017986,0.004361508,0.013194013
PTPRG,3p14.2,-0.243013215,0.0043623,0.013194388
SMYD3,1q44,0.24298459,0.004367051,0.013206739
CNOT10,3p22.3,0.242975049,0.004368636,0.013209511
H2BC10,6p22.2,0.242939748,0.004374505,0.013225232
TRIP6,7q22.1,0.2429178,0.004378157,0.013234249
NCKAP1L,12q13.13-q13.2,-0.242889175,0.004382924,0.013246633
TRIO,5p15.2,-0.242836697,0.004391677,0.013271056
OR4K1,14q11.2,-0.242765091,0.004403644,0.013304955
SCARNA2,1q13.1,0.242761523,0.004404241,0.013304955
ZFP57,6p22.1,-0.242752155,0.004405809,0.013307658
ADGRG2,Xp22.13,-0.242684032,0.004417226,0.013340105
PTTG3P,8q13.1,0.242621157,0.004427788,0.013369958
TEAD1,11p15.3,-0.242593388,0.00443246,0.01338202
PLD2,17p13.2,-0.242588617,0.004433263,0.0133824
SCRN3,2q31.1,0.242583846,0.004434066,0.01338278
ZNF417,19q13.43,-0.242579075,0.004434869,0.013383161
SNORA28,14q32.32,0.242543399,0.004440881,0.013399255
TERF2,16q22.1,-0.242474119,0.004452575,0.01343249
ADAMTSL4,1q21.2,-0.242459806,0.004454994,0.013437737
FUOM,10q26.3,0.242445494,0.004457415,0.013442986
CEP170P1,4q26,-0.242352877,0.004473107,0.013488253
NAT14,19q13.42,0.242340537,0.004475201,0.013490452
NR1D2,3p24.2,-0.242340537,0.004475201,0.013490452
AGAP2-AS1,12q14.1,0.242321454,0.004478442,0.013496104
RNF11,1p32.3,0.242321454,0.004478442,0.013496104
PEX12,17q12,0.242311913,0.004480063,0.013498931
CD93,20p11.21,-0.242283288,0.00448493,0.013511535
KIAA1328,18q12.2,-0.242259434,0.004488989,0.013521702
C1QL3,10p13,-0.242246278,0.004491229,0.013526388
CPT1A,11q13.3,-0.242116311,0.004513413,0.013591129
SLC38A1,12q13.11,-0.242059062,0.004523216,0.013618573
NT5C2,10q24.32-q24.33,-0.241949334,0.004542058,0.01367322
N4BP2L2-IT2,13q13.1,-0.241939793,0.0045437,0.013676079
THUMPD2,2p22.1,0.241906398,0.00454945,0.013689217
CIP2A,3q13.13,0.241906398,0.00454945,0.013689217
CHST14,15q15.1,0.241887315,0.004552739,0.013697028
C2,6p21.33,-0.241868231,0.00455603,0.013704842
UBE2G1,17p13.2,0.241839607,0.00456097,0.013717616
SFT2D1,6q27,0.24173465,0.004579126,0.013770126
TMEM187,Xq28,0.241715567,0.004582434,0.013777978
CLDN18,3q22.3,-0.241709241,0.004583531,0.01377918
PTDSS2,11p15.5,0.241663089,0.004591542,0.013801164
CHADL,22q13.2,-0.24162044,0.004598956,0.013821347
FBXW9,19p13.13,0.241462716,0.004626468,0.013901915
ZFP69B,1p34.2,-0.241453175,0.004628137,0.013904816
TNFRSF1B,1p36.22,-0.241429321,0.004632312,0.013915244
SOX6,11p15.2,-0.241415009,0.004634819,0.013920658
MEGF9,9q33.2,-0.241391155,0.004638999,0.013931096
CBFB,16q22.1,0.24135776,0.004644858,0.013946569
ATP11C,Xq27.1,-0.241319594,0.004651561,0.013964575
MTUS1,8p22,-0.241314823,0.004652399,0.013964971
MDGA1,6p21.2,-0.241243261,0.004664993,0.014000647
CTBP1-DT,4p16.3,-0.241200324,0.004672564,0.01402124
ZSCAN26,6p22.1,0.241190783,0.004674248,0.014022764
FAM205A,9p13.3,-0.241189406,0.004674491,0.014022764
ZDHHC22,14q24.3,-0.241181241,0.004675933,0.014024959
CYP1A1,15q24.1,-0.241167325,0.00467839,0.014030202
GIMAP8,7q36.1,-0.241162158,0.004679303,0.01403081
NRP2,2q33.3,-0.241143075,0.004682676,0.014038793
SRM,1p36.22,0.241104909,0.004689428,0.014056904
S100A4,1q21.3,0.241100138,0.004690273,0.014057303
CYB561D2,3p21.31,0.241071514,0.004695343,0.014070367
CTDSPL2,15q15.3-q21.1,0.241061972,0.004697034,0.014073301
C5AR2,19q13.32,-0.241052431,0.004698726,0.014074504
PCLO,7q21.11,-0.24104766,0.004699572,0.014074504
ABCA11P,4p16.3,0.24104766,0.004699572,0.014074504
AKAP12,6q25.1,-0.241023806,0.004703805,0.014085045
AP2A2,11p15.5,-0.241014265,0.004705499,0.014087983
CAND2,3p25.2,-0.240957015,0.004715675,0.014114575
TNFSF15,9q32,-0.240953731,0.004716259,0.014114575
ARF3,12q13.12,-0.240952245,0.004716523,0.014114575
SMIM29,6p21.31,0.240933162,0.00471992,0.014122602
CX3CR1,3p22.2,-0.240928391,0.00472077,0.014123005
AGTPBP1,9q21.33,-0.240918849,0.004722469,0.014125951
LRFN5,14q21.1,-0.240912468,0.004723606,0.014127213
NDP,Xp11.3,0.240875912,0.004730124,0.014144566
TAS2R5,7q34,-0.240866371,0.004731826,0.014147516
TOR1AIP2,1q25.2,-0.2408616,0.004732678,0.014147921
SREBF1,17p11.2,-0.240852059,0.004734381,0.014150873
LIN52,14q24.3,0.240847288,0.004735233,0.014151279
ZNF598,16p13.3,-0.240832976,0.004737789,0.014154638
FAM172A,5q15,0.240832976,0.004737789,0.014154638
KANK1,9p24.3,-0.240818663,0.004740347,0.014160138
ISCU,12q23.3,0.240804351,0.004742906,0.014165641
ATP13A3,3q29,-0.240775726,0.004748027,0.014178794
UCK2,1q24.1,0.240699394,0.004761709,0.014217502
ZNF365,10q21.2,-0.24061352,0.004777142,0.01426143
DDX6,11q23.3,-0.240599208,0.004779719,0.014266967
DECR2,16p13.3,0.240541959,0.004790038,0.014295609
SPATA4,4q34.2,0.240524023,0.004793275,0.01430239
ARSL,Xp22.33,0.240518105,0.004794344,0.01430239
FAM199X,Xq22.2,-0.240513334,0.004795205,0.01430239
RGL3,19p13.2,-0.240513334,0.004795205,0.01430239
TRMT13,1p21.2,0.24048948,0.004799515,0.014313084
GPR39,2q21.2,0.240479939,0.004801239,0.014316068
CHRNB2,1q21.3,-0.240475168,0.004802102,0.01431648
PHF24,9p13.3,-0.240432231,0.004809872,0.014337481
ALDH3B1,11q13.2,-0.240403607,0.004815058,0.014350775
UBN2,7q34,-0.240398836,0.004815923,0.014351189
RAB35,12q24.23,-0.240336816,0.004827178,0.014382561
MTRF1,13q14.11,0.240327274,0.004828912,0.014385558
EIF2D,1q32.1,0.240317733,0.004830646,0.014388555
NEXMIF,Xq13.3,-0.240274796,0.004838458,0.01440965
TAF1D,11q21,0.240265255,0.004840195,0.014412652
HYOU1,11q23.3,-0.240231859,0.00484628,0.014428598
TOGARAM1,14q21.2,-0.240227088,0.00484715,0.014429014
PPM1G,2p23.3,0.240193693,0.004853243,0.014444975
PTCH2,1p34.1,-0.240184152,0.004854985,0.014447984
INCENP,11q12.3,-0.240141215,0.004862831,0.014469155
CNTN3,3p12.3,-0.240093985,0.004871475,0.014492693
SLC39A11,17q24.3-q25.1,-0.240055341,0.004878558,0.01451158
PDIA4,7q36.1,0.23998855,0.004890821,0.014545868
SLC35G6,17p13.1,-0.239956765,0.004896667,0.014561063
GRIN3B,19p13.3,-0.239912713,0.004904779,0.014582991
HACD3,15q22.31,0.239888364,0.004909268,0.014594142
PRSS53,16p11.2,-0.239883593,0.004910148,0.014594563
TAAR6,6q23.2,-0.239858734,0.004914735,0.014603675
MYO1G,7p13,-0.239854969,0.00491543,0.014603675
ACOT2,14q24.3,0.239854969,0.00491543,0.014603675
MTMR6,13q12.13,0.239850198,0.004916311,0.014604097
BICDL1,12q24.23,-0.239840656,0.004918074,0.014607137
STRIP1,1p13.3,-0.239835886,0.004918955,0.014607559
MPHOSPH8,13q12.11,-0.239826344,0.004920718,0.0146106
NOC3L,10q23.33,0.23980249,0.004925128,0.014621498
TTC30B,2q31.2,0.23979772,0.004926011,0.014621922
GPR153,1p36.31,-0.239769095,0.004931309,0.01463545
SKIV2L,6p21.33,-0.239750012,0.004934844,0.014643741
SLC24A1,15q22.31,-0.239683221,0.004947233,0.014678303
EP400P1,12q24.33,-0.239664138,0.004950778,0.014686616
CLTC,17q23.1,-0.239635514,0.0049561,0.014700197
SH3D21,1p34.3,-0.239535328,0.004974767,0.014753349
PCDHGA10,5q31.3,-0.239492391,0.004982786,0.014774914
RAP1A,1p13.2,0.239468537,0.004987246,0.01478592
HNRNPAB,5q35.3,0.239463766,0.004988139,0.014786348
LHX1,17q12,-0.239446195,0.004991427,0.014793876
MAN2B1,19p13.13,-0.239387434,0.005002437,0.014824286
IL4,5q31.1,0.239355946,0.005008346,0.014838409
RMDN2,2p22.2,0.239354038,0.005008704,0.014838409
ETV4,17q21.31,0.239311102,0.005016772,0.014860083
ANKMY1,2q37.3,-0.239304231,0.005018065,0.014861683
SEPTIN5,22q11.21,-0.239296789,0.005019464,0.014863601
ZNF248,10p11.21,-0.239289919,0.005020757,0.014865202
KRBA1,7q36.1,-0.239270835,0.005024349,0.014873609
PRPF40B,12q13.12,-0.239210916,0.005035643,0.01490481
ACADS,12q24.31,0.239201374,0.005037444,0.014907906
CBLN2,18q22.3,-0.239191944,0.005039224,0.014910942
FCSK,16q22.1,-0.239187062,0.005040145,0.014911436
MAMDC4,9q34.3,-0.2391155,0.005053674,0.014949224
CELF3,1q21.3,-0.239105959,0.00505548,0.014952329
TNFSF14,19p13.3,-0.239097245,0.005057131,0.014954971
ABI3BP,3q12.2,-0.23904871,0.00506633,0.014977694
THOC1,18p11.32,0.23904871,0.00506633,0.014977694
TIGD4,4q31.3,0.23898669,0.005078108,0.015010266
NXPH3,17q21.33,-0.238948523,0.005085367,0.015029478
TBC1D3B,17q12,-0.23892944,0.005089001,0.015037967
FSTL5,4q32.2,-0.23890128,0.005094367,0.015047773
GYS1,19q13.33,-0.238900816,0.005094455,0.015047773
HTR1B,6q14.1,-0.238899269,0.00509475,0.015047773
SIGMAR1,9p13.3,0.238896045,0.005095365,0.015047773
TBC1D17,19q13.33,-0.238829254,0.005108114,0.01508317
CEL,9q34.13,-0.238824484,0.005109026,0.015083609
PHACTR3,20q13.32-q13.33,-0.238819713,0.005109938,0.015084048
PDCD6IP,3p22.3,-0.238814942,0.00511085,0.015084487
TENT5C,1p12,-0.23880063,0.005113587,0.015090312
FAM183A,1p34.2,0.238720299,0.005128973,0.015133458
LRRC4C,11p12,-0.238709985,0.005130952,0.015135152
METTL21EP,13q33.1,-0.238709321,0.005131079,0.015135152
ANXA2R,5p12,0.238684031,0.005135934,0.01514721
CARMN,5q32,-0.238657507,0.005141029,0.015159976
PINK1,1p36.12,-0.238638424,0.005144698,0.015166269
LDLRAD4,18p11.21,-0.238638424,0.005144698,0.015166269
ATR,3q23,-0.238628882,0.005146533,0.015169417
STT3B,3p23,-0.238485759,0.005174133,0.015248494
ZNF497,19q13.43,-0.238480989,0.005175056,0.015248938
STX16,20q13.32,-0.238347407,0.005200939,0.015322922
FUT9,6q16.1,-0.238342636,0.005201866,0.015323368
AGAP11,10q23.2,-0.238337866,0.005202792,0.015323813
TRO,Xp11.21,-0.238314012,0.005207428,0.015335181
RPS6KA5,14q32.11,-0.238299699,0.005210211,0.015338806
ZNF770,15q14,-0.238299699,0.005210211,0.015338806
TMEM86A,11p15.1,-0.238228138,0.005224147,0.015377543
SINHCAF,12p11.21,0.238132723,0.00524278,0.015430091
AMPD3,11p15.4,-0.23811364,0.005246514,0.015438781
C20ORF203,20q11.21,-0.238042755,0.005260404,0.015477349
ABCC6P2,16p13.11,0.238018224,0.005265218,0.015489208
NELL1,11p15.1,-0.237995108,0.005269758,0.015498828
PEAK3,19p13.3,-0.2379896,0.005270841,0.015498828
PFN1P2,1p11.2,-0.2379896,0.005270841,0.015498828
SLC7A2,8p22,-0.237975287,0.005273654,0.015504794
DLST,14q24.3,0.237960975,0.005276469,0.015508456
C9ORF72,9p21.2,0.237960975,0.005276469,0.015508456
ZNF16,8q24.3,0.237941892,0.005280224,0.015517185
LRRC37A2,17q21.31,-0.237937121,0.005281163,0.015517637
ATP1A1,1p13.1,-0.237932351,0.005282102,0.01551809
BATF3,1q32.3,0.237851248,0.005298093,0.015562756
TAGAP,6q25.3,-0.237846477,0.005299035,0.01556321
PDLIM5,4q22.3,-0.237770145,0.005314128,0.015605216
CACNG5,17q24.2,-0.237740653,0.005319969,0.015620048
ZNF788P,19p13.2,0.237684271,0.005331152,0.015650559
MYLPF,16p11.2,0.237641382,0.005339673,0.015673246
RNF207,1p36.31,-0.237612993,0.00534532,0.015685327
RASL10A,22q12.2,-0.237612709,0.005345377,0.015685327
PMCH,12q23.2,0.237536669,0.005360528,0.015727453
HECW1,7p14.1-p13,-0.237502982,0.005367253,0.015744845
KIF26A,14q32.33,-0.237483899,0.005371066,0.015753691
SCARB1,12q24.31,-0.237479128,0.005372019,0.01575415
SEPTIN3,22q13.2,-0.237474357,0.005372973,0.015754609
DISP2,15q15.1,-0.237398025,0.005388253,0.01579707
MUC5B,11p15.5,-0.237368509,0.005394172,0.015811489
HRH3,20q13.33,-0.237365521,0.005394771,0.015811489
SERINC4,15q15.3,-0.237333903,0.005401119,0.015827745
BEND7,10p13,-0.237259673,0.005416047,0.015869138
RPL31P11,1q23.3,0.237252968,0.005417397,0.015870741
C10ORF95,10q24.32,-0.237219848,0.005424071,0.015887938
TMEM151B,6p21.1,-0.237192882,0.005429511,0.015901514
CCDC142,2p13.1,-0.237154716,0.005437217,0.015921726
ACAT2,6q25.3,0.237140404,0.00544011,0.015926944
ADGRF1,6p12.3,-0.237137924,0.005440611,0.015926944
PKD1L2,16q23.2,-0.237112664,0.00544572,0.015939539
LINC00839,10q11.21,-0.237098598,0.005448567,0.015943819
KRIT1,7q21.2,0.237097467,0.005448796,0.015943819
WBP4,13q14.11,0.237044988,0.005459429,0.015972568
SLIT2,4p15.31,-0.237040218,0.005460397,0.015973034
SNORD15B,11q13.4,0.236951556,0.005478406,0.016023344
ACE,17q23.3,-0.236944802,0.00547978,0.016024991
NTRK2,9q21.33,-0.236911407,0.005486579,0.016042294
MPPED1,22q13.2,-0.236907766,0.00548732,0.016042294
TEK,9p21.2,-0.236820762,0.00550507,0.016091806
ATAD2B,2p24.1-p23.3,-0.236815992,0.005506045,0.016092275
INPP5A,10q26.3,-0.236811221,0.00550702,0.016092744
PTK2,8q24.3,-0.236763513,0.005516777,0.016118875
XPC,3p25.1,-0.236720576,0.005525573,0.016142186
DDR1,6p21.33,-0.236711035,0.005527529,0.016145515
GALNTL6,4q34.1,-0.236686694,0.005532522,0.016157711
FOXK2,17q25.3,-0.236658556,0.005538299,0.016172193
STRADB,2q33.1,0.236625161,0.005545162,0.016189842
BUB3,10q26.13,0.236586995,0.005553015,0.016207982
KLF16,19p13.3,-0.236586995,0.005553015,0.016207982
PALM,19p13.3,-0.236582224,0.005553998,0.016208455
ZNF841,19q13.41,-0.236577453,0.00555498,0.016208929
SH3GL2,9p22.2,-0.236567912,0.005556946,0.016209877
MINDY4,7p14.3,0.236567912,0.005556946,0.016209877
COL8A2,1p34.3,-0.236534516,0.00556383,0.016227563
CSMD1,8p23.2,-0.236520204,0.005566782,0.016233361
MAPT-IT1,17q21.31,-0.236516919,0.00556746,0.016233361
SHISA9,16p13.12,-0.236462955,0.005578607,0.016263461
CCR1,3p21.31,-0.236415247,0.005588478,0.016289835
PIK3CA,3q26.32,-0.236348457,0.005602323,0.016327785
STAG1,3q22.3,-0.236338915,0.005604303,0.016331148
ATP5MGL,22q13.2,0.236294824,0.005613463,0.016355427
SDHAP2,3q29,-0.236262583,0.005620169,0.016372553
SLC4A11,20p13,-0.236219646,0.005629111,0.016394592
MAGEC3,Xq27.2,-0.236218292,0.005629393,0.016394592
SMIM32,5q31.1,-0.236192007,0.005634874,0.016408135
HNRNPH2,Xq22.1,-0.236171938,0.005639062,0.01641791
RNF222,17p13.1,-0.236161566,0.005641227,0.016421795
BACH2,6q15,-0.23611946,0.005650025,0.016444985
C1QTNF7,4p15.32,-0.236071752,0.005660009,0.016471617
FOXP3,Xp11.23,-0.236062211,0.005662007,0.016475007
TBCC,6p21.1,0.235985879,0.005678019,0.016519164
IQCG,3q29,0.235976337,0.005680023,0.016522563
SORCS2,4p16.1,-0.235900005,0.00569608,0.016566831
MAGI1,3p14.1,-0.235885692,0.005699095,0.016573162
PRRT1,6p21.32,-0.235833214,0.005710162,0.016602904
BAAT,9q31.1,-0.235824798,0.005711939,0.016604361
PRSS35,6q14.2,-0.235818902,0.005713184,0.016604361
KLHL17,1p36.33,-0.235818902,0.005713184,0.016604361
ERVFRD-1,6p24.2,-0.235803396,0.005716459,0.016611438
MPIG6B,6p21.33,-0.235772852,0.005722916,0.016627756
RASA3,13q34,-0.235723486,0.005733366,0.016655668
CACHD1,1p31.3,-0.235718716,0.005734377,0.016656156
BRINP2,1q25.2,-0.235694862,0.005739433,0.016666432
KDM5B,1q32.1,-0.235690091,0.005740444,0.016666432
GPX8,5q11.2,0.235690091,0.005740444,0.016666432
RRAS,19q13.33,0.235651925,0.005748544,0.016687496
B4GALT7,5q35.3,0.235642383,0.00575057,0.016690927
FBXL19-AS1,16p11.2,-0.235599447,0.005759697,0.016714962
UNC5C,4q22.3,-0.235546968,0.00577087,0.016744927
CALHM3,10q24.33,-0.235522525,0.00577608,0.016757585
FKTN,9q31.2,-0.23549449,0.005782061,0.016772476
EMILIN1,2p23.3,-0.235461094,0.005789194,0.0167907
CCDC189,16p11.2,0.235408616,0.005800417,0.016820784
MITF,3p13,-0.235399074,0.00580246,0.016824239
SNHG10,14q32.13,0.235379991,0.005806547,0.016833567
GABRG3,15q12,-0.235376102,0.005807381,0.016833567
NKD2,5p15.33,-0.23537045,0.005808592,0.016834609
IQUB,7q31.32,0.235332284,0.005816777,0.01685586
POMZP3,7q11.23,0.235313201,0.005820873,0.016865257
SGSH,17q25.3,-0.23530843,0.005821898,0.016865753
PIPOX,17q11.2,0.235275035,0.005829074,0.016884066
KLC3,19q13.32,-0.235260722,0.005832152,0.016890506
MAN2C1,15q24.2,-0.235255952,0.005833178,0.016891003
HEATR6,17q23.1,-0.23524641,0.005835231,0.016894472
CDH20,18q21.33,-0.235236868,0.005837284,0.016897942
PLGLB2,2p11.2,-0.235222556,0.005840366,0.016904387
MGAT4A,2q11.2,-0.235213015,0.005842421,0.01690786
CSTL1,20p11.21,-0.235186066,0.00584823,0.016922191
GGACT,13q32.3,0.23512237,0.005861979,0.016959491
UROS,10q26.2,0.235108058,0.005865072,0.016965957
PAX5,9p13.2,-0.235099902,0.005866835,0.016968574
NUTM2G,9q22.33,-0.235061572,0.005875129,0.016990075
CBY2,13q14.13,-0.235051111,0.005877394,0.016994139
ADRA2B,2q11.2,-0.234984018,0.005891941,0.01703371
RNF38,9p13.2,-0.234964935,0.005896085,0.017043195
ETNK1,12p12.1,0.234926769,0.00590438,0.017064676
USP15,12q14.1,0.234921998,0.005905417,0.01706518
SP4,7p15.3,0.234902915,0.005909569,0.017074681
ANKRD6,6q15,-0.234879061,0.005914763,0.017087189
TRIM35,8p21.2,-0.234855207,0.005919961,0.017099705
LDHD,16q23.1,-0.234802729,0.00593141,0.017127769
RPS6KL1,14q24.2,-0.234802729,0.00593141,0.017127769
USP47,11p15.3,-0.23475025,0.005942879,0.01715838
LDLR,19p13.2,-0.234735938,0.00594601,0.017164913
C17ORF78,17q12,-0.23468442,0.005957293,0.017194975
DDX24,14q32.12,-0.234616669,0.005972161,0.017235372
A4GNT,3q22.3,-0.2345944,0.005977056,0.017246978
TLL1,4q32.3,-0.23453639,0.005989821,0.017279292
ZNF880,19q13.41,0.234535566,0.005990003,0.017279292
CYB5B,16q22.1,0.234530795,0.005991054,0.017279801
KCNK3,2p23.3,-0.234526025,0.005992105,0.017280311
PIK3C2B,1q32.1,-0.234487858,0.00600052,0.017302054
ABITRAM,9q31.3,0.234406755,0.006018437,0.017351185
IL12A,3q25.33,0.234387672,0.00602266,0.017360826
KCNT1,9q34.3,-0.234379249,0.006024524,0.017363669
SOHLH1,9q34.3,-0.234365412,0.006027589,0.017369967
RBBP8NL,20q13.33,-0.234360915,0.006028585,0.017370306
KLHDC4,16q24.2,-0.234344735,0.00603217,0.017378103
CCNK,14q32.2,-0.234330423,0.006035344,0.01738471
HDGFL2,19p13.3,-0.234306569,0.006040636,0.017397418
ZNF883,9q32,0.234273174,0.006048051,0.017416237
SH3BP5L,1q44,-0.234239779,0.006055475,0.017435075
URB1-AS1,21q22.11,0.234225466,0.006058659,0.017441701
TOX2,20q13.12,-0.234215925,0.006060783,0.017445274
NUDT9,4q22.1,0.234211154,0.006061845,0.01744579
HAGH,16p13.3,0.234158676,0.006073538,0.017476897
CYSLTR2,13q14.2,-0.234115739,0.00608312,0.017501922
HIC1,17p13.3,-0.234091885,0.006088449,0.017514705
LCA5L,21q22.2,0.234077573,0.006091649,0.017521359
ZNF341,20q11.22,-0.234068031,0.006093783,0.017524946
COL4A6,Xq22.3,-0.234044177,0.00609912,0.017537744
FAM151A,1p32.3,-0.234015738,0.006105489,0.017553504
LINC02210,17q21.31,-0.234010782,0.0061066,0.017554143
GLB1,3p22.3,0.23399647,0.006109808,0.017558257
TLE5,19p13.3,0.23399647,0.006109808,0.017558257
LAMA3,18q11.2,-0.233965739,0.006116701,0.017575511
FLVCR1-DT,1q32.3,0.233905825,0.00613016,0.017611624
ZC3HAV1,7q34,-0.233867659,0.006138748,0.017633732
ATP1A1-AS1,1p13.1,0.233815181,0.006150573,0.017665133
CCNY,10p11.21,-0.233786556,0.006157032,0.017681113
OR56B1,11p15.4,-0.233776803,0.006159234,0.017684867
TNKS,8p23.1,-0.233757931,0.006163497,0.017694536
RSPH14,22q11.22-q11.23,0.233738848,0.00616781,0.017704347
CHAF1B,21q22.12-q22.13,0.233710224,0.006174285,0.017720359
LHB,19q13.33,-0.233690021,0.006178858,0.017730909
ZMIZ2,7p13,-0.233676828,0.006181846,0.017734334
C19ORF73,19q13.33,0.233676828,0.006181846,0.017734334
RABEP2,16p11.2,-0.233667287,0.006184008,0.017737962
KBTBD4,11p11.2,0.233662516,0.00618509,0.017738488
ZNF804A,2q32.1,-0.233648204,0.006188334,0.017745219
SEC61A1,3q21.3,-0.233571872,0.006205665,0.017792334
CNTRL,9q33.2,-0.23356233,0.006207834,0.017793391
NFX1,9p12,-0.23356233,0.006207834,0.017793391
LINC00240,6p22.2,0.233510058,0.006219731,0.017824905
NUDT8,11q13.2,0.233490769,0.006224126,0.017834915
KICS2,12q14.2,0.233447832,0.00623392,0.017857799
ARHGEF2,1q22,-0.233447832,0.00623392,0.017857799
UAP1L1,9q34.3,-0.233390583,0.006246999,0.017892673
H2BC17,6p22.1,0.233380009,0.006249417,0.017897006
GOLGA6FP,,-0.233361189,0.006253724,0.017906743
TTC17,11p12-p11.2,-0.233338104,0.00625901,0.017919283
C2ORF80,2q33.3,0.233323792,0.006262289,0.017926074
NFKBID,19q13.12,-0.233304709,0.006266664,0.017935999
PGBD3,10q11,-0.233257001,0.006277612,0.017964734
PDCD4,10q25.2,-0.233233147,0.006283093,0.017977814
HILPDA,7q32.1,0.233156815,0.00630066,0.018023396
CLDN9,16p13.3,-0.233154708,0.006301145,0.018023396
COPZ2,17q21.32,0.233152044,0.006301759,0.018023396
H3-4,1q42.13,-0.23313381,0.006305962,0.018032808
JPX,Xq13.2,0.233099566,0.006313863,0.01805279
PRDM1,6q21,-0.233094795,0.006314965,0.018053327
LINC00174,7q11.21,-0.233090024,0.006316066,0.018053865
CYP2D7,22q13.2,-0.233042317,0.006327092,0.018082764
EIF4G2,11p15.4,0.233018463,0.006332611,0.018093844
H2AC16,6p22.1,0.233014771,0.006333465,0.018093844
NFKB1,4q24,-0.233013692,0.006333715,0.018093844
CEMIP,15q25.1,-0.232970755,0.006343662,0.01811964
HELQ,4q21.23,0.232894423,0.006361379,0.018167621
CMPK1,1p33,0.232861028,0.006369144,0.01818717
OCEL1,19p13.11,0.232822862,0.006378029,0.018209909
GABRE,Xq28,-0.232756071,0.006393604,0.018251741
ECEL1,2q37.1,-0.232745047,0.006396178,0.018256451
MTM1,Xq28,-0.232736988,0.00639806,0.018259187
NTM,11q25,-0.232703592,0.006405865,0.018278822
SEC22B,1p12,0.232694051,0.006408097,0.01828255
TFG,3q12.2,0.232674968,0.006412562,0.018292648
MFN1,3q26.33,0.232670197,0.006413679,0.018293193
FEZ1,11q24.2,0.232651114,0.006418148,0.018303297
SNAP23,15q15.1-q15.2,0.232632031,0.006422619,0.018313406
DNPEP,2q35,0.232622489,0.006424856,0.018317142
KLHL31,6p12.1,-0.232599413,0.006430268,0.018329163
FRRS1L,9q31.3,-0.232596605,0.006430927,0.018329163
MAPK3,16p11.2,-0.232517533,0.006449506,0.018379464
PARP15,3q21.1,-0.232512762,0.006450628,0.018380012
TGM2,20q11.23,-0.232469825,0.006460738,0.018406165
RAB6B,3q22.1,-0.232369639,0.006484383,0.018470864
NIPA2,15q11.2,0.232355327,0.006487767,0.01847784
FGD6,12q22,-0.232345785,0.006490024,0.018481605
LAMC3,9q34.12,-0.232321931,0.006495669,0.018495016
CEMP1,16p13.3,-0.232240828,0.006514896,0.018544417
FBXO34,14q22.3,-0.232240828,0.006514896,0.018544417
RELCH,18q21.33,-0.232236057,0.006516028,0.01854497
PLEKHF2,8q22.1,0.232169267,0.006531903,0.018587472
